x-coord,y-coord,z-coord
517983.02,7699689.86,-230.00
518003.03,7699710.27,-230.00
518023.45,7699727.61,-230.00
518029.98,7699733.33,-230.00
518038.98,7699739.86,-230.00
518073.45,7699764.38,-230.00
518118.98,7699789.86,-230.00
518123.45,7699792.19,-230.00
518127.37,7699793.78,-230.00
518173.45,7699813.64,-230.00
518209.83,7699826.24,-230.00
518223.45,7699831.23,-230.00
518250.47,7699839.86,-230.00
518267.85,7699845.45,-230.00
518273.45,7699847.06,-230.00
518305.81,7699857.49,-230.00
518323.45,7699862.64,-230.00
518356.88,7699873.29,-230.00
518373.45,7699878.81,-230.00
518405.41,7699889.86,-230.00
518423.45,7699895.99,-230.00
518432.97,7699899.38,-230.00
518473.45,7699914.28,-230.00
518513.06,7699929.47,-230.00
518523.45,7699933.57,-230.00
518538.74,7699939.86,-230.00
518573.45,7699953.93,-230.00
518598.01,7699964.42,-230.00
518623.45,7699975.54,-230.00
518653.91,7699989.86,-230.00
518673.45,7699998.91,-230.00
518692.09,7700008.50,-230.00
518723.45,7700024.82,-230.00
518748.85,7700039.86,-230.00
518773.45,7700054.53,-230.00
518821.09,7700087.50,-230.00
518823.45,7700089.13,-230.00
518824.38,7700089.86,-230.00
518873.45,7700129.50,-230.00
518885.21,7700139.86,-230.00
518923.45,7700174.15,-230.00
518940.09,7700189.86,-230.00
518973.45,7700221.22,-230.00
518992.51,7700239.86,-230.00
519023.45,7700269.56,-230.00
519043.82,7700289.86,-230.00
519073.45,7700318.58,-230.00
519094.69,7700339.86,-230.00
519123.45,7700367.72,-230.00
519145.74,7700389.86,-230.00
519173.45,7700416.41,-230.00
519197.65,7700439.86,-230.00
519223.45,7700463.80,-230.00
519251.80,7700489.86,-230.00
519273.45,7700508.48,-230.00
519310.93,7700539.86,-230.00
519323.45,7700549.43,-230.00
519363.56,7700579.97,-230.00
519373.45,7700587.61,-230.00
519376.25,7700589.86,-230.00
519423.45,7700625.26,-230.00
519441.16,7700639.86,-230.00
519473.45,7700665.65,-230.00
519500.09,7700689.86,-230.00
519523.45,7700711.37,-230.00
519550.64,7700739.86,-230.00
519573.45,7700765.44,-230.00
519584.64,7700778.66,-230.00
519593.46,7700789.86,-230.00
519606.48,7700806.82,-230.00
519623.45,7700830.52,-230.00
519627.40,7700835.90,-230.00
519630.23,7700839.86,-230.00
519643.30,7700859.71,-230.00
519663.10,7700889.86,-230.00
519666.82,7700896.48,-230.00
519673.45,7700907.44,-230.00
519685.62,7700927.68,-230.00
519693.37,7700939.86,-230.00
519718.99,7700985.41,-230.00
519721.43,7700989.86,-230.00
519723.45,7700993.89,-230.00
519747.12,7701039.86,-230.00
519768.43,7701084.84,-230.00
519770.70,7701089.86,-230.00
519773.45,7701096.35,-230.00
519792.10,7701139.86,-230.00
519804.99,7701171.40,-230.00
519812.11,7701189.86,-230.00
519823.45,7701219.89,-230.00
519830.99,7701239.86,-230.00
519835.43,7701251.84,-230.00
519848.75,7701289.86,-230.00
519861.98,7701328.39,-230.00
519865.70,7701339.86,-230.00
519867.47,7701345.83,-230.00
519873.45,7701364.30,-230.00
519879.43,7701383.87,-230.00
519881.44,7701389.86,-230.00
519890.76,7701422.55,-230.00
519896.10,7701439.86,-230.00
519902.01,7701461.29,-230.00
